country1,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita
Costa Rica,0.766,79.4,13.9,8.4,"13,413",10
Congo (Democratic Republic of the),0.433,58.7,9.8,6,680,11
Congo,0.591,62.3,11.1,6.1,"6,012",-14
Comoros,0.503,63.3,11.5,4.6,"1,456",16
Colombia,0.72,74,13.5,7.3,"12,040",-9
China,0.727,75.8,13.1,7.5,"12,547",-7
Chile,0.832,81.7,15.2,9.8,"21,290",11
Chad,0.392,51.6,7.4,1.9,"2,085",-22
Central African Republic,0.35,50.7,7.2,4.2,581,1
Canada,0.913,82,15.9,13,"42,155",11
Cameroon,0.512,55.5,10.4,6,"2,803",-1
Cambodia,0.555,68.4,10.9,4.4,"2,949",7
Cabo Verde,0.646,73.3,13.5,4.7,"6,094",-1
Burundi,0.4,56.7,10.1,2.7,758,1
Burkina Faso,0.402,58.7,7.8,1.4,"1,591",-13
Bulgaria,0.782,74.2,14.4,10.6,"15,596",13
Brunei Darussalam,0.856,78.8,14.5,8.8,"72,570",-26
Brazil,0.755,74.5,15.2,7.7,"15,175",-1
Botswana,0.698,64.5,12.5,8.9,"16,646",-41
Bosnia and Herzegovina,0.733,76.5,13.6,8.3,"9,638",19
Bolivia (Plurinational State of),0.662,68.3,13.2,8.2,"5,760",4
Bhutan,0.605,69.5,12.6,3,"7,176",-17
Benin,0.48,59.6,11.1,3.3,"1,767",0
Belize,0.715,70,13.6,10.5,"7,614",9
Belgium,0.89,80.8,16.3,11.3,"41,187",0
Belarus,0.798,71.3,15.7,12,"16,676",14
Barbados,0.785,75.6,15.4,10.5,"12,488",27
Bangladesh,0.57,71.6,10,5.1,"3,191",5
Bahrain,0.824,76.6,14.4,9.4,"38,599",-20
Bahamas,0.79,75.4,12.6,10.9,"21,336",-3
Azerbaijan,0.751,70.8,11.9,11.2,"16,428",-11
Austria,0.885,81.4,15.7,10.8,"43,869",-5
Australia,0.935,82.4,20.2,13,"42,261",17
Armenia,0.733,74.7,12.3,10.9,"8,124",22
Argentina,0.836,76.3,17.9,9.8,"22,050",11
Antigua and Barbuda,0.783,76.1,14,9.2,"20,070",-1
Angola,0.532,52.3,11.4,4.7,"6,822",-30
Andorra,0.845,81.3,13.5,9.6,"43,978",-18
Algeria,0.736,74.8,14,7.6,"13,054",-1
Albania,0.733,77.8,11.8,9.3,"9,943",14
Afghanistan,0.465,60.4,9.3,3.2,"1,885",-7
